Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very
neat	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.55261934915847	Attributive	Prime	-1.22709041023302	HumanPropensity	NonEmotional	other
nice	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.109584115467313	Predicative	NoPrime	-1.22709041023302	Value	NonEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.608160281216377	Attributive	Prime	-0.334785190958434	Value	NegativeEmotional	other
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.492808826926044	Predicative	NoPrime	1.44098834995009	Value	NonEmotional	other
bad	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.116849202938834	Attributive	NoPrime	0.589954495389194	Value	NegativeEmotional	other
other	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.667970803448802	Predicative	NoPrime	1.44098834995009	HumanPropensity	PositiveEmotional	very
other	PAKEHA	Man	20-29	NoUniversity	ENGLISH	-0.63806554233259	Attributive	NoPrime	1.21293660370808	PhysicalProperty	NonEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.46717315598435	Attributive	NoPrime	0.0954536784429885	Color	PositiveEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.612434403864541	Predicative	Prime	0.970328433850273	PhysicalProperty	NonEmotional	other
other	PAKEHA	Man	30-39	NoUniversity	ENGLISH	-0.574044352083044	Predicative	NoPrime	0.435323289514444	PhysicalProperty	PositiveEmotional	other
other	PAKEHA	Man	30-39	NoUniversity	ENGLISH	-0.574044352083044	Attributive	NoPrime	-1.22709041023302	Value	NonEmotional	other
other	PAKEHA	Man	60+	University	ENGLISH	-0.00570388419197559	Attributive	NoPrime	-0.0816661017446335	HumanPropensity	NegativeEmotional	other
nice	PAKEHA	Man	60+	University	ENGLISH	0.660837157713016	Attributive	NoPrime	0.97875472015747	Value	NonEmotional	very
other	PAKEHA	Man	60+	University	ENGLISH	-0.00570388419197559	Attributive	NoPrime	-1.22709041023302	HumanPropensity	NegativeEmotional	other
other	PAKEHA	Woman	60+	University	ENGLISH	-0.338976671381294	Attributive	NoPrime	0.817709365489556	Value	PositiveEmotional	other
other	PAKEHA	Woman	60+	University	ENGLISH	-0.338976671381294	Predicative	NoPrime	-0.547254233495357	HumanPropensity	PositiveEmotional	other
other	PAKEHA	Woman	60+	University	ENGLISH	-0.338976671381294	Predicative	Prime	-1.22709041023302	Position	NonEmotional	other
other	PAKEHA	Man	60+	University	ENGLISH	0.660837157713016	Attributive	NoPrime	-0.871768707445223	PhysicalProperty	NonEmotional	other
other	PAKEHA	Man	60+	University	ENGLISH	0.660837157713016	Predicative	NoPrime	1.21907242062054	PhysicalProperty	NonEmotional	other
nice	PAKEHA	Woman	60+	University	ENGLISH	0.660837157713016	Attributive	NoPrime	-0.646378364003005	Value	NonEmotional	very
other	PAKEHA	Woman	16-19	University	ENGLISH	-0.546663678787645	Attributive	NoPrime	-0.0273755929934859	Value	NegativeEmotional	other
good	PAKEHA	Woman	16-19	University	ENGLISH	1.75241544824395	Predicative	NoPrime	-1.22709041023302	Value	PositiveEmotional	other
nice	PAKEHA	Woman	16-19	University	ENGLISH	0.245454077953022	Predicative	NoPrime	-1.22709041023302	Value	NonEmotional	other
other	PAKEHA	Woman	16-19	University	ENGLISH	-0.623946886925345	Predicative	Prime	1.44098834995009	Value	PositiveEmotional	other
nice	PAKEHA	Woman	16-19	University	ENGLISH	0.245454077953022	Attributive	NoPrime	-0.276599758911958	Value	NonEmotional	other
cool	PAKEHA	Woman	16-19	University	ENGLISH	0.0329354536400513	Attributive	NoPrime	-1.22709041023302	PhysicalProperty	PositiveEmotional	other
different	PAKEHA	Woman	16-19	University	ENGLISH	-0.334145054474674	Attributive	NoPrime	1.44098834995009	Other	NonEmotional	other
other	PAKEHA	Woman	16-19	University	ENGLISH	-0.63360558826494	Predicative	NoPrime	0.950163629861151	PhysicalProperty	PositiveEmotional	other
