ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very	FileSpeaker
56843	DPC160	RW	funny	PAKEHA	Woman	20-29	University	ENGLISH	1.13112	Predicative	NoPrime	-2.31715689580771	HumanPropensity	NonEmotional	other	DPC160RW
56846	DPC160	RW	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	Prime	-3.36054100599057	Value	PositiveEmotional	other	DPC160RW
56855	DPC160	NT	shy	PAKEHA	Woman	20-29	University	ENGLISH	0.05656	Attributive	NoPrime	-2.66146936750618	HumanPropensity	NonEmotional	other	DPC160NT
56859	DPC160	RW	gorgeous	PAKEHA	Woman	20-29	University	ENGLISH	0.09426	Attributive	Prime	-0.680560144061105	HumanPropensity	PositiveEmotional	other	DPC160RW
56901	DPC160	RW	cool	PAKEHA	Woman	20-29	University	ENGLISH	0.98973	Attributive	NoPrime	-1.40136545850168	PhysicalProperty	PositiveEmotional	other	DPC160RW
56902	DPC160	NT	nice	PAKEHA	Woman	20-29	University	ENGLISH	1.72495	Attributive	Prime	-2.47195558462662	Value	NonEmotional	other	DPC160NT
56916	DPC160	RW	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	Prime	-3.66356164612965	Value	PositiveEmotional	other	DPC160RW
56966	DPC160	NT	different	PAKEHA	Woman	20-29	University	ENGLISH	0.89547	Attributive	Prime	1	Other	NonEmotional	very	DPC160NT
57025	DPC160	RW	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC160RW
57069	DPC160	RW	nice	PAKEHA	Woman	20-29	University	ENGLISH	1.72495	Predicative	NoPrime	-0.515131343390552	Value	NonEmotional	other	DPC160RW
57094	DPC160	RW	wrong	PAKEHA	Woman	20-29	University	ENGLISH	0.54671	Predicative	NoPrime	-2.03643236073155	Value	NegativeEmotional	other	DPC160RW
57107	DPC160	NT	bad	PAKEHA	Woman	20-29	University	ENGLISH	1.22537	Attributive	NoPrime	-3.66356164612965	Value	NegativeEmotional	other	DPC160NT
57109	DPC160	RW	cute	PAKEHA	Woman	20-29	University	ENGLISH	0.16967	Attributive	Prime	-3.66356164612965	Value	PositiveEmotional	other	DPC160RW
57202	DPC161	HP	quick	PAKEHA	Man	50-59	University	ENGLISH	0.10395	Predicative	NoPrime	-0.216156484465305	Speed	NonEmotional	other	DPC161HP
57426	DPC161	HP	funny	PAKEHA	Man	50-59	University	ENGLISH	0.18191	Attributive	NoPrime	-0.188262471042168	HumanPropensity	NonEmotional	other	DPC161HP
