"Age"	"Function"	"Variant"	"Adjective"	"VariantAdjective"	"VariantOtherAdjective"	"OtherVariantAdjective"	"OtherVariantOtherAdjective"	"AmplifierFrequency"	"AdjectiveFrequency"	"TotalFrequency"	"Expected"	"Probability"	"OddsRatio"	"p"	"Effect"
"60+"	"Attributive"	"really"	"good"	1	1	2	27	2	3	31	0.193548387096774	0.0967741935483871	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.990634755463059	0
"60+"	"Attributive"	"very"	"good"	1	15	2	13	16	3	31	1.54838709677419	0.0967741935483871	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.532594848054288	0.27
"60+"	"Attributive"	"very"	"nice"	4	12	0	15	16	4	31	2.06451612903226	0.129032258064516	"Inf"	0.954193733797263	0.02
"60+"	"Attributive"	"other"	"other"	12	1	12	6	13	24	31	10.0645161290323	0.774193548387097	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.964104159861588	0.02
"60+"	"Attributive"	"really"	"other"	1	1	23	6	2	24	31	1.54838709677419	0.774193548387097	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.400624349635796	0.4
"60+"	"Attributive"	"very"	"other"	11	5	13	2	16	24	31	12.3870967741935	0.774193548387097	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.284743866483068	0.55
"60+"	"Predicative"	"other"	"good"	1	9	0	15	10	1	25	0.4	0.04	"Inf"	0.941846234321293	0.03
"60+"	"Predicative"	"other"	"nice"	1	9	1	14	10	2	25	0.8	0.08	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.812117544852878	0.09
"60+"	"Predicative"	"very"	"nice"	1	13	1	10	14	2	25	1.12	0.08	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.690036276350683	0.16
"60+"	"Predicative"	"other"	"other"	8	2	14	1	10	22	25	8.8	0.88	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.341724965795958	0.47
"60+"	"Predicative"	"really"	"other"	1	0	21	3	1	22	25	0.88	0.88	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	1	0
"60+"	"Predicative"	"very"	"other"	13	1	9	2	14	22	25	12.32	0.88	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.83298425693169	0.08
